name;url;logo;abstract
tutlayt.net;http://tutlayt.net/;tutlayt_net.png;Tutlayt.net est un site regroupant beaucoup de resources sur tamazight. Vous trouverez des livres et un dictionnaire Kabyle-Français très riche.
amazighworld.org;http://www.amazighworld.org/;amazighworld_org.gif;Amazigh- windows on the Amazigh (berber) world : culture,music, human rights, amazigh studies, gallery, communication, all about imazighen.
asadlis-amazigh.com;http://www.asadlis-amazigh.com/;asadlis-amazigh-com.png;Asadlis Umdhin Amazigh, littéralement « bibliothèque numérique amazighe », s’inscrit dans cette dynamique de numérisation de la culture amazighe.
EOF
